tamanho_hash,numero_registros,numero_colisoes,ocupacao_media_chaves,ocupacao_std_chaves
1000,5000,4005,5.0,2.2543291685111115
10000,5000,1092,0.5,0.7130217387990355
100000,5000,126,0.05,0.22374092160353679
1000,5000,4008,5.0,2.244994432064365
10000,5000,1091,0.5,0.7097887009526145
100000,5000,126,0.05,0.22369622258768693
1000,5000,4007,5.0,2.33709221041875
10000,5000,1088,0.5,0.7127411872482184
100000,5000,124,0.05,0.22360679774997894
1000,5000,4009,5.0,2.244994432064365
10000,5000,1112,0.5,0.717495644586084
100000,5000,124,0.05,0.2236515146382872
1000,5000,4001,5.0,2.224859546128699
10000,5000,1012,0.5,0.6979971346646059
100000,5000,122,0.05,0.22356207191739835
